cif,year,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,i20
18332126,2017,6445,35455,0,1201,34254,0,8,0,0,41892,200,0,257,257,9391,0,9134,0,9142,0
18337158,2017,8522,153512,0,82549,70963,0,2037,0,0,159997,200,0,193622,194483,28892,165591,0,159757,0,0
18337166,2017,61866,431365,250,331004,100111,1695,74553,0,0,420373,200,0,219400,220676,145099,75577,0,73371,0,3
18337174,2017,0,26434,1437,23587,1410,0,116633,0,0,-90199,400,0,0,0,1974,0,1974,0,1974,0
18337190,2017,7915818,25125304,17609144,5002423,2513737,148455,4642888,0,1077273,27469416,1800000,0,151028083,152591893,145263401,7328492,0,6184062,0,403
18343214,2017,6000,13,0,8,5,0,2906,0,0,3107,600,0,0,0,0,0,0,0,0,0
18343222,2017,1757495,6578860,0,6492775,86085,0,11167338,0,0,-2830983,11500000,0,89763,92617,268370,0,175753,0,175753,1
18353102,2017,10330477,1686007,595180,203312,23733,0,8927937,0,0,3088547,1000,0,21000,1031319,1201319,0,170000,0,174991,0
18353137,2017,3236,122812,0,92620,30192,0,65822,0,0,60226,200,0,115449,115449,75310,40139,0,38985,0,1
18353153,2017,110326,38379,645,33426,4308,0,98439,0,0,50266,200,0,30276,30276,25471,4805,0,4502,0,1
18353170,2017,5198,237383,74732,64538,98113,718,89609,0,0,153690,200,0,476414,477761,440517,37244,0,31538,0,2
18353188,2017,1917,49686,0,3326,46360,0,6309,0,0,45294,200,0,62748,62748,16637,46111,0,44228,0,0
18353196,2017,0,525,0,0,525,0,20590,0,0,-20065,200,0,0,0,11670,0,11670,0,11670,1
18357821,2017,0,23,0,0,23,0,4248,0,0,-4225,200,0,0,0,0,0,0,0,0,0
18362550,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18367817,2017,111,10209,0,402,9807,0,1849,0,0,8471,200,0,12267,16068,7793,8275,0,7793,0,0
18367833,2017,1003181,30219,0,0,30219,238,898616,0,0,135022,3000,0,177124,184621,82748,101873,0,96500,0,0
18367850,2017,5617251,6118514,875777,4315210,927527,10599,4718357,0,0,7028007,21900,0,16804905,16972821,16254575,718246,0,603327,0,5
18378492,2017,437475,677514,5300,430143,242071,14376,139228,0,0,990137,200,0,1883611,1905093,1754577,150516,0,131053,0,10
18378514,2017,0,184040,94819,19743,69478,0,75992,0,0,108048,200,0,696297,724206,738865,0,14659,0,21789,3
18378549,2017,689,27402,12537,11756,3109,0,189893,0,0,-161802,200,0,4950,4950,22751,0,17801,0,17801,0
18378557,2017,89392,34580,32602,264,1714,0,276472,0,0,-152500,200,0,698780,702538,659031,43507,0,35979,0,4
18378565,2017,55221,345030,0,147041,197989,0,35871,0,0,364380,200,0,536930,536930,162365,374565,0,364721,0,1
18378573,2017,143839,27030,0,9852,17178,0,197309,0,0,-26440,200,0,69005,87911,119486,0,31575,0,32454,0
18378581,2017,19429,58782,0,13572,45210,0,17145,0,0,61066,200,0,166440,166444,127841,38603,0,36938,0,3
18378603,2017,12522,1512,0,1421,91,0,118786,136,0,-104888,200,0,0,0,0,0,0,0,0,0
18378654,2017,0,10271,4201,0,6070,0,28445,0,0,-18174,200,0,23090,23110,17607,5503,0,4810,0,1
18378670,2017,9302,6898,0,2856,4042,0,180233,0,0,-164033,200,0,8210,8210,9133,0,923,0,1005,1
18380069,2017,25386,201188,0,187061,14127,1461,41868,0,0,186167,1000,0,357730,364048,175498,188550,0,184967,0,4
18380085,2017,0,1392,1382,0,10,0,134221,0,0,-132829,0,0,50196,50196,70233,0,20037,0,20540,2
18380107,2017,825,253320,181926,64996,6398,0,726083,0,0,-471938,200,0,144876,144876,196683,0,51807,0,53256,2
18387326,2017,0,62397,0,6840,55557,0,300,0,0,62097,200,0,0,0,506,0,506,0,506,0
18387377,2017,762,255269,170497,75053,9719,0,393235,0,0,-137204,200,0,0,0,838,0,838,0,838,0
18387393,2017,0,71859,0,39580,32279,0,35492,0,0,36367,200,0,211957,211961,152136,59825,0,57706,0,0
18387415,2017,265546,32,0,32,0,0,378356,0,0,-112778,128800,0,0,0,0,0,0,0,0,0
18387423,2017,18527,2076,0,2076,0,0,69205,0,0,-48602,500,0,0,0,1027,0,1027,0,1027,0
18395930,2017,0,85674,0,0,85674,0,2409,0,0,83265,200,0,153346,153346,72999,80347,0,78814,0,1
